"","Typ","Namn","Address4","Address5","RT90x","RT90y","WGS84x","WGS84y"
"1","Butik","Fältöversten","STOCKHOLM","Stockholms län",6582011,1630064,59.3388107537737,18.0908790067336
"2","Butik","","STOCKHOLM","Stockholms län",6581787,1629382,59.3370109670991,18.0787703591809
"3","Butik","Garnisonen","STOCKHOLM","Stockholms län",6581720,1630377,59.3361042109022,18.0961987870359
"4","Butik","","STOCKHOLM","Stockholms län",6581443.113,1628483.985,59.3342004409464,18.0627992471065
"5","Butik","Sergel","STOCKHOLM","Stockholms län",6581251.441,1628460.233,59.3324884444145,18.0622682452208
"6","Butik","PK-Huset","STOCKHOLM","Stockholms län",6581348.98,1628962.251,59.3332104447572,18.0711392341174
"7","Butik","","STOCKHOLM","Stockholms län",6581037,1628616,59.330517630776,18.0648749832605
"8","Butik","Marieberg","STOCKHOLM","Stockholms län",6580676,1625947,59.3280832179873,18.0178124220644
"9","Butik","","STOCKHOLM","Stockholms län",6580745,1627343,59.3282839095263,18.0423567077416
"10","Butik","","STOCKHOLM","Stockholms län",6581680,1625435,59.3372412323076,18.0094084099046
"11","Butik","","VÄLLINGBY","Stockholms län",6584334,1617652,59.3632880229876,17.874193052018
"12","Butik","","STOCKHOLM","Stockholms län",6581458,1626624,59.3348953415189,18.030154189005
"13","Butik","","STOCKHOLM","Stockholms län",6582135,1627265,59.3407752871577,18.0418068391776
"14","Butik","Torsplan","STOCKHOLM","Stockholms län",6582767.095,1626747.961,59.3466004349226,18.0330992483184
"15","Butik","Odenplan","STOCKHOLM","Stockholms län",6582461,1627884,59.3435124863073,18.052869117528
"16","Butik","Jarlaplan","STOCKHOLM","Stockholms län",6582620,1628484,59.344756598736,18.0635000391818
"17","Butik","","STOCKHOLM","Stockholms län",6581989,1628333,59.3391426946788,18.0604730992562
"18","Butik","","STOCKHOLM","Stockholms län",6581457,1628077,59.334448534068,18.0556625875756
"19","Butik","Brommaplan","BROMMA","Stockholms län",6581729,1621475,59.3388376921316,17.9399042750927
"20","Butik","","HÄSSELBY","Stockholms län",6584696,1615877,59.3670264144289,17.8431954688926
"21","Butik","","KISTA","Stockholms län",6588823.336,1621493.13,59.4024704222321,17.9442242488615
"22","Butik","Bromma Blocks","BROMMA","Stockholms län",6583670,1622217,59.3560349180603,17.9540328676582
"23","Butik","Ringen","STOCKHOLM","Stockholms län",6578584,1629331,59.3082972660336,18.0759580666418
"24","Butik","","STOCKHOLM","Stockholms län",6579247,1629262,59.3142651517577,18.0751439224199
"25","Butik","Söderhallarna","STOCKHOLM","Stockholms län",6579281,1629032,59.3146403444322,18.0711288118607
"26","Butik","","STOCKHOLM","Stockholms län",6579419,1629788,59.315646821917,18.0844758776426
"27","Butik","","JOHANNESHOV","Stockholms län",6577496,1629545,59.2984729619621,18.0790607245155
"28","Butik","Globen","JOHANNESHOV","Stockholms län",6576764,1629653,59.2918742051236,18.0805163821894
"29","Butik","Liljeholmen","STOCKHOLM","Stockholms län",6578641,1626263,59.3097353307704,18.0221704745614
"30","Butik","","STOCKHOLM","Stockholms län",6579483,1628162,59.3167167303301,18.0559839006609
"31","Butik","Hammarby Sjöstad","STOCKHOLM","Stockholms län",6577945,1630863,59.3020947365173,18.1024456349399
"32","Butik","","STOCKHOLM","Stockholms län",6579419,1626918,59.3165178179856,18.0341179889739
"33","Butik","","Hägersten","Stockholms län",6576902.241,1625281.754,59.294430441522,18.0039492527476
"34","Butik","","BANDHAGEN","Stockholms län",6573564,1627470,59.263833854602,18.0403579441512
"35","Butik","","FARSTA","Stockholms län",6571337,1630460,59.2429489266078,18.0914021199749
"36","Butik","","HÄGERSTEN","Stockholms län",6575853,1623050,59.2856731583219,17.9642166389168
"37","Butik","","SKÄRHOLMEN","Stockholms län",6574717,1619970,59.2763664375551,17.9095882767076
"38","Butik","","SOLNA","Stockholms län",6584237,1624809,59.3603627204277,17.9998965962247
"39","Butik","","SUNDBYBERG","Stockholms län",6584281,1622984,59.3612929701039,17.9678561167538
"40","Butik","","VAXHOLM","Stockholms län",6589550,1644635,59.4016819643694,18.3517318569029
"41","Butik","","HALLSTAVIK","Stockholms län",6662319,1655444,60.0502497019424,18.5956334606821
"42","Butik","","NORRTÄLJE","Stockholms län",6629948,1662690,59.7572634641812,18.7001442718731
"43","Butik","","SIGTUNA","Stockholms län",6612198,1608078,59.6158254037251,17.7200339937712
"44","Butik","","SÖDERTÄLJE","Stockholms län",6565397,1604088,59.196946715686,17.6267106293886
"45","Butik","","SÖDERTÄLJE","Stockholms län",6564261,1601112,59.187472519637,17.5741327436329
"46","Butik","","NYNÄSHAMN","Stockholms län",6533261,1623371,58.9035065778019,17.9459074088653
"47","Butik","","LIDINGÖ","Stockholms län",6585132,1632476,59.3660540133023,18.1351440750444
"48","Butik","Arninge","TÄBY","Stockholms län",6595729,1632265,59.4611648029347,18.1379633868564
"49","Butik","Mörby Centrum","DANDERYD","Stockholms län",6588398,1626774,59.3971000919866,18.0368710816325
"50","Butik","Jakobsbergs Centrum","JÄRFÄLLA","Stockholms län",6591022,1615351,59.4239198906923,17.8373445581154
"51","Butik","Täby Centrum","TÄBY","Stockholms län",6593753.139,1628675.336,59.4445564222782,18.0735222251921
"52","Butik","Sollentuna Centrum","SOLLENTUNA","Stockholms län",6591691,1621815,59.4281008560674,17.9515134929727
"53","Butik","","HUDDINGE","Stockholms län",6570417.922,1624280.068,59.2365604571528,17.9826692785569
